,TMDBID,language,keyword1,keyword2,keyword3,art1,art2,sound1,sound2,producer1,producer2,producer3
1867,9466.0,en,exzentrik,reporter,ex-wife,Santo Loquasto,NA,NA,NA,Jean Doumanian,NA,NA
1868,666.0,pt,brazil,letter,teacher,Cassio Amarante,Carla Caff?,Jaques Morelenbaum,Antonio Pinto,Arthur Cohn,Elisa Tolomelli,Donald Ranvaud
1869,2042.0,en,civil war,women,rape,NA,NA,David Robbins,NA,Oliver Stone,Janet Yang,NA
1870,10162.0,en,false identity,beguilement,lottery,NA,NA,Shaun Davey,NA,Alexandre Heylen,Richard Holmes,Glynis Murray
1871,309.0,da,suicide,father-son relationship,child abuse,NA,NA,Lars Bo Jensen,Morten Holm,Marie Louise Hedegaard,Lene Seested,Birgitte Hald
1872,692.0,en,gay,trailer park,pop culture,Vincent Peranio,Vincent Peranio,NA,NA,John Waters,NA,NA
1873,24018.0,en,gay,trailer park,pop culture,Vincent Peranio,Vincent Peranio,NA,NA,John Waters,NA,NA
1874,1678.0,en,gay,trailer park,pop culture,Vincent Peranio,Vincent Peranio,NA,NA,John Waters,NA,NA
1875,39256.0,ja,japan,submarine,helicopter,Akira Sakuragi,Akira Sakuragi,Reijiro Koroku,NA,Norio Hayashi,Kiyomi Kanazawa,Tony Randel
1876,1680.0,en,japan,helicopter,japanese,Teruaki Abe,Takeo Kita,Akira Ifukube,NA,Tomoyuki Tanaka,NA,NA
1877,244.0,en,film business,screenplay,film making,Carroll Clark,Alfred Herman,Max Steiner,Eddie Harman,David O. Selznick,Merian C. Cooper,Ernest B. Schoedsack
1878,10730.0,en,indigenous,island,king kong,Mario Chiari,Dale Hennesy,John Barry,Harry W. Tetrick,Dino De Laurentiis,Federico De Laurentiis,Christian Ferry
1879,31947.0,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1880,8130.0,en,amnesia,rolling stone,lonely hearts ad,Santo Loquasto,NA,NA,NA,NA,NA,NA
1881,11532.0,en,father-son relationship,indian,brazil,NA,NA,Brian Gascoigne,Junior Homrich,John Boorman,Edgar F. Gross,NA
1882,9749.0,en,journalist,fletch,cabana,NA,NA,Harold Faltermeyer,NA,Peter Douglas,Alan Greisman,NA
1883,14628.0,en,saturday night live,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884,9626.0,en,monster,swordplay,queen,NA,NA,Ennio Morricone,NA,Christian Ferry,A. Michael Lieberman,NA
1885,13698.0,en,japan,usa,factory worker,NA,NA,NA,NA,NA,NA,NA
1886,10466.0,en,rock star,price,chaos,NA,NA,Michel Colombier,NA,David Giler,Steven Spielberg,Kathleen Kennedy
1887,707.0,en,paris,london,france,Peter Lamont,John Fenner,John Barry,Duran Duran,Albert R. Broccoli,Tom Pevsner,Debbie McWilliams
1888,11954.0,en,paris,london,france,Peter Lamont,John Fenner,John Barry,Duran Duran,Albert R. Broccoli,Tom Pevsner,Debbie McWilliams
1889,9336.0,en,paris,london,france,Peter Lamont,John Fenner,John Barry,Duran Duran,Albert R. Broccoli,Tom Pevsner,Debbie McWilliams
1890,10157.0,en,handcuffs,police chief,police operation,NA,NA,Robert Folk,NA,Paul Maslansky,NA,NA
1891,12118.0,en,competition,governor,NA,NA,NA,Robert Folk,NA,Paul Maslansky,NA,NA
1892,10587.0,en,handcuffs,police chief,police operation,NA,NA,Robert Folk,NA,Paul Maslansky,NA,NA
1893,11825.0,en,handcuffs,police operation,investigation,NA,NA,Robert Folk,NA,Paul Maslansky,NA,NA
1894,11895.0,en,competition,mayor,investigation,NA,NA,Robert Folk,NA,Pat Proft,Paul Maslansky,NA
1895,9447.0,en,piggy bank,shortage of money,pig,NA,NA,Nigel Westlake,NA,Doug Mitchell,George Miller,Sharon Ross
1896,12257.0,en,waitress,infidelity,planned murder,Barry Robison,Phil Dagort,Rachel Portman,NA,Mark Johnson,Lawrence Kasdan,Romi Lassally
1897,37536.0,en,talk show,raunchy,NA,NA,NA,NA,NA,NA,NA,NA
1898,10029.0,en,prostitute,hotel,cocaine,Michael Atwell,Dina Lipton,Stewart Copeland,NA,Ted Field,Cindy Cowan,Joanna Johnson
1899,11252.0,en,shower,motel,stolen money,NA,NA,Bernard Herrmann,NA,Brian Grazer,Gus Van Sant,NA
1900,8545.0,en,parents kids relationship,voice,loneliness,Don Taylor,John Bush,John Altman,Bob Last,Bob Weinstein,Harvey Weinstein,Paul Webster
1901,10223.0,en,brother brother relationship,money delivery,airplane,Hilton Rosemarin,Patrizia von Brandenstein,Danny Elfman,Ellen Segal,Gary Levinsohn,Ilene Starger,Janice F. Sperling
1902,9745.0,en,holiday,loss of lover,christmas party,NA,NA,Trevor Rabin,NA,Irving Azoff,Mark Canton,NA
1903,200.0,en,holiday,loss of lover,christmas party,NA,NA,Trevor Rabin,NA,Irving Azoff,Mark Canton,NA
1904,9837.0,en,holiday,loss of lover,christmas party,NA,NA,Trevor Rabin,NA,Irving Azoff,Mark Canton,NA
1905,11545.0,en,private school,lone wolf,theatre play,NA,NA,Mark Mothersbaugh,NA,Owen Wilson,Barry Mendel,Paul Schiff
1906,1934.0,en,shakespeare,love of one's life,oscar award,Steven Lawrence,Jill Quertier,Stephen Warbeck,NA,Edward Zwick,Harvey Weinstein,David Parfitt
1907,11881.0,en,holiday,santa claus,departement store,Richard Day,Richard Irvine,Cyril J. Mockridge,Roger Heman Sr.,William Perlberg,NA,NA
1908,13764.0,en,holiday,NA,NA,NA,NA,Henry Mancini,NA,Pierre Spengler,Ilya Salkind,NA
1909,24951.0,en,holiday,santa claus,kids and family,NA,NA,NA,NA,NA,NA,NA
1910,8879.0,en,gunslinger,showdown,marshal,NA,NA,Lennie Niehaus,NA,Clint Eastwood,Fritz Manes,Phyllis Huffman
1911,1369.0,en,usa,vietnam veteran,submachine gun,Bill Kenney,William Ladd Skinner,Jerry Goldsmith,Fred J. Brown,Buzz Feitshans,Rhonda Young,NA
1912,1368.0,en,prison,vietnam veteran,falsely accused person,Wolf Kroeger,Kimberley Richardson,Jerry Goldsmith,Fred J. Brown,Buzz Feitshans,Mario Kassar,Herb Nanas
1913,1370.0,en,competition,submachine gun,union of soviet socialist republics,Bill Kenney,Pier Luigi Basile,Michael Dittrick,Rodger Pardee,Buzz Feitshans,Joy Todd,NA
1914,10303.0,en,diving,dictator,africa,NA,NA,Jack Nitzsche,NA,Michael Douglas,NA,NA
1915,9326.0,en,riddle,treasure,hero,NA,NA,Alan Silvestri,NA,Treva Silverman,Jack Brodsky,Michael Douglas
1916,10328.0,en,swimming pool,aliens,tears,NA,NA,James Horner,NA,David Brown,Lili Fini Zanuck,Richard D. Zanuck
1917,11285.0,en,return,pregnant,shape shifting alien,NA,NA,James Horner,NA,David Brown,Lili Fini Zanuck,Richard D. Zanuck
1918,1367.0,en,return,pregnant,shape shifting alien,NA,NA,James Horner,NA,David Brown,Lili Fini Zanuck,Richard D. Zanuck
1919,1371.0,en,return,pregnant,shape shifting alien,NA,NA,James Horner,NA,David Brown,Lili Fini Zanuck,Richard D. Zanuck
1920,1374.0,en,usa,transporter,loss of lover,Bill Kenney,NA,Vince DiCola,David B. Cohn,Robert Chartoff,Irwin Winkler,JoAnn May-Pavey
1921,1375.0,en,philadelphia,transporter,father-son relationship,William J. Cassidy,William J. Durrell Jr.,Bill Conti,Stu Bernstein,Robert Chartoff,Irwin Winkler,Caro Jones
1922,15196.0,en,board game,mystery,mansion,John Robert Lloyd,NA,John Morris,NA,Debra Hill,George Folsey Jr.,Peter Guber
1923,11904.0,en,london,school friend,religion and supernatural,NA,NA,Bruce Broughton,NA,Mark Johnson,Kathleen Kennedy,Frank Marshall
1924,215875.0,en,NA,NA,NA,NA,NA,Patrick Williams,NA,NA,NA,NA
1925,15596.0,en,college,whirlpool,clothing store,David L. Snyder,Linda DeScenna,Danny Elfman,NA,Chuck Russell,Harold Ramis,Michael Endler
1926,13818.0,en,journalist,wife husband relationship,infidelity,Tony Walton,John Kasarda,NA,NA,Robert Greenhut,Mike Nichols,Joel Tuber
1927,29968.0,en,parents kids relationship,divorce,NA,Charles Rosen,Jane Bogart,Patrick Leonard,Lorna Anderson,Alexandra Rose,Jane Alderman,Shelley Andreas
1928,44326.0,en,rape,nudity,revenge,NA,NA,NA,NA,NA,NA,NA
1929,1885.0,en,flat,taskmaster,karate,William J. Cassidy,John H. Anderson,Bill Conti,NA,Jerry Weintraub,Pennie DuPont,Caro Jones
1930,8856.0,en,martial arts,karate,okinawa,NA,NA,Bill Conti,NA,Jerry Weintraub,NA,NA
1931,10495.0,en,japan,japanese,confidence,NA,NA,Bill Conti,NA,Jerry Weintraub,NA,NA
1932,5825.0,en,holiday,christmas,NA,NA,NA,Angelo Badalamenti,NA,John Hughes,Tom Jacobson,NA
1933,9489.0,en,holiday,christmas,NA,NA,NA,Angelo Badalamenti,NA,John Hughes,Tom Jacobson,NA
1934,16885.0,en,holiday,christmas,NA,NA,NA,Angelo Badalamenti,NA,John Hughes,Tom Jacobson,NA
1935,76857.0,en,flight,friends,disease,NA,NA,NA,NA,NA,NA,NA
1936,8741.0,en,based on novel,japanese,world war ii,Jack Fisk,Ian Gracie,Hans Zimmer,NA,George Stevens Jr.,Robert Michael Geisler,Grant Hill
1937,9276.0,en,american football,alien life-form,high school,Ed Vega,Cary White,Marco Beltrami,Sue Fox,Anne McCarthy,Mary Vernieu,Bill Scott
1938,9822.0,en,gorilla,dying and death,NA,Greg Wolfson,Michael Corenblith,James Horner,NA,Ted Hartley,Tom Jacobson,Pam Dixon
1939,39314.0,en,decoy,wrestler,ape,NA,NA,Roy Webb,NA,Merian C. Cooper,John Ford,NA
1940,10312.0,en,nurse,hospital,doctor,Ashley Fardys,James Nedza,Marc Shaiman,Jeff Carson,Mike Farrell,Barry Kemp,Marvin Minoff
1941,9441.0,en,divorce,rebellious daughter,freeze frame,NA,NA,John Williams,NA,Julia Roberts,Susan Sarandon,NA
1942,9422.0,en,success,advancement,leukemia,David Gropman,Tracey A. Doyle,Danny Elfman,NA,Rachel Pfeffer,Scott Rudin,Robert Redford
1943,125582.0,en,woman director,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,24525.0,en,indie,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,10368.0,en,italy,hotel,loss of mother,NA,NA,Stefano Arnaldi,Alessio Vlad,Clive Parsons,Marco Chimenz,NA
1946,11365.0,en,prison,irland,coming out,NA,NA,Arthur Sullivan,NA,Alex Graham,NA,NA
1947,31662.0,en,NA,NA,NA,Anne Pritchard,NA,Michael Brook,NA,Linda Reisman,Nick Nolte,Frank K. Isaac
1948,36136.0,en,NA,NA,NA,Anne Pritchard,NA,Michael Brook,NA,Linda Reisman,Nick Nolte,Frank K. Isaac
1949,1363.0,en,NA,NA,NA,Anne Pritchard,NA,Michael Brook,NA,Linda Reisman,Nick Nolte,Frank K. Isaac
1950,46992.0,en,cellist,career,musician,NA,NA,NA,NA,NA,NA,NA
1951,825.0,en,sex,adultery,hotel,Missy Stewart,Charles Daboub Jr.,John Barry,NA,Meg Liberman,Thomas L. Wilhite,Kurt Albrecht
1952,22913.0,en,transporter,friends,nottingham,NA,NA,Boo Hewerdine,NA,Abi Cohen,George Faber,Sally French
1953,15556.0,en,blind,massage therapist,NA,Jane Musky,Robert Guerra,Mark Isham,NA,Irwin Winkler,Rob Cowan,Kerry Barden
1954,28902.0,en,suicide attempt,dream,victim of murder,NA,NA,NA,NA,NA,NA,NA
1955,14709.0,en,american football,small town,texas,NA,NA,NA,NA,NA,NA,NA
1956,9423.0,en,deserter,tornado,russian,Mayling Cheng,Jaymes Hinkle,Joel McNeely,Richard L. Anderson,Pam Dixon,Gale Anne Hurd,Charles Thomas Baxter
1957,14443.0,en,monster,garbage,musical,NA,NA,NA,NA,NA,NA,NA
1958,10658.0,en,duck,physicist,extraterrestrial,NA,NA,John Barry,NA,Gloria Katz,George Lucas,NA
1959,6917.0,en,babysitter,legend,eye,William Beeton,Jeff Cutler,Michael Hoenig,Terry Burke,Mary Gail Artz,Clare Walker,John Kemeny
1960,24086.0,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,11815.0,en,teleportation,experiment with human beings,hybrid,NA,NA,Paul Sawtell,NA,Robert L. Lippert,Kurt Neumann,NA
1962,9426.0,en,mutant,mutation,experiment with human beings,Rolf Harvey,James McAteer,Terry Burke,Howard Shore,Deidre Bowen,Stuart Cornfeld,Marc Boyman
1963,10344.0,en,mutant,mutation,experiment with human beings,Rolf Harvey,James McAteer,Terry Burke,Howard Shore,Deidre Bowen,Stuart Cornfeld,Marc Boyman
1964,15698.0,en,mutant,mutation,experiment with human beings,Rolf Harvey,James McAteer,Terry Burke,Howard Shore,Deidre Bowen,Stuart Cornfeld,Marc Boyman
1965,2620.0,en,corruption,ex-cop,private detective,NA,NA,NA,NA,Brian Grazer,NA,NA
1966,30497.0,en,texas,chain saw,gore,Robert A. Burns,NA,Wayne Bell,NA,Tobe Hooper,NA,NA
1967,16337.0,en,hammer,gore,slasher,NA,NA,NA,NA,NA,NA,NA
1968,25018.0,en,sequel,NA,NA,Mick Strawn,Ella St. John Blakey,Jim Manzie,Pat Regan,Michael De Luca,Robert Engelman,NA
1969,16780.0,en,cannibal,psychos,NA,NA,NA,NA,NA,NA,NA,NA
1970,12151.0,en,ransom,lover (female),business man,NA,NA,Michel Colombier,NA,Joanna Lancaster,Walter Yetnikoff,Michael Peyser
1971,33278.0,en,crushed to death,NA,NA,John Loggia,Daniel A. Lomino,Charles Bernstein,NA,Robert M. Sherman,Robert Crawford Jr.,Patrick Kelley
1972,192.0,en,christianity,library,inquisition,Dante Ferretti,NA,James Horner,Frank Jahn,Bernd Eichinger,Jake Eberts,Thomas Sch?hly
1973,10945.0,en,cia,agentin,kgb,NA,NA,Thomas Newman,NA,Lawrence Gordon,Joel Silver,NA
1974,10013.0,en,time travel,NA,NA,NA,NA,John Barry,NA,Paul R. Gurian,Barrie M. Osborne,NA
1975,9671.0,en,new york,crocodile,wilderness,NA,NA,Peter Best,NA,John Cornell,NA,NA
1976,9396.0,en,new york,crocodile,australia,NA,NA,Peter Best,NA,John Cornell,Paul Hogan,Jane Scott
1977,11038.0,en,prison,train robbery,NA,NA,NA,James Newton Howard,NA,Joe Wizan,NA,NA
1978,12278.0,en,prison,train robbery,NA,NA,NA,James Newton Howard,NA,Joe Wizan,NA,NA
1979,11873.0,en,prison,train robbery,NA,NA,NA,James Newton Howard,NA,Joe Wizan,NA,NA
1980,18588.0,en,female nudity,infidelity,blackmail,Philip Harrison,Russell Christian,Gary Chang,NA,Yoram Globus,Menahem Golan,Henry T. Weinstein
1981,10015.0,en,recruit,officer,battle assignment,Edward C. Carfagno,NA,Lennie Niehaus,NA,Clint Eastwood,Fritz Manes,NA
1982,12715.0,en,treasure,wretch,fighter,NA,NA,Gary Chang,NA,Norman Aladjem,Carlos Gil,Yoram Globus
1983,8388.0,en,mexico,hero,village,NA,NA,Elmer Bernstein,NA,Lorne Michaels,NA,NA
1984,45712.0,en,on the run,streetwise,cigarette smoke,NA,NA,NA,NA,NA,NA,NA
1985,8129.0,en,glasgow,funeral,football coach,NA,NA,George Fenton,NA,Rebecca O'Brien,NA,NA
1986,1618.0,en,condom,rock band,NA,NA,NA,NA,NA,Dick Clement,Ian La Frenais,NA
1987,10722.0,es,madrid,telecaster,heavy metal,NA,NA,Battista Lena,NA,Claudio Gaeta,Fernando de Garcill?n,Andr?s Vicente G?mez
1988,10314.0,en,tv-star,jeep,volleyball,NA,NA,Stewart Copeland,NA,Peter Abrams,Richard N. Gladstein,Robert L. Levy
1989,11167.0,en,cinematographer,photography,illegal prostitution,Arthur Lawson,NA,Brian Easdale,NA,Michael Powell,NA,NA
1990,170187.0,en,woman director,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,2112.0,en,new york,heroin,money,Richard Hoover,Troy Sizemore,Chris Boardman,NA,Bruce Davey,Marion Dougherty,Stephen McEveety
1992,16172.0,en,restaurant,kitchen,love,William Barclay,John Kasarda,NA,NA,Arnon Milchan,Elisabeth Robinson,John Fiedler
1993,111794.0,en,restaurant,kitchen,love,William Barclay,John Kasarda,NA,NA,Arnon Milchan,Elisabeth Robinson,John Fiedler
1994,16306.0,en,restaurant,kitchen,love,William Barclay,John Kasarda,NA,NA,Arnon Milchan,Elisabeth Robinson,John Fiedler
1995,11622.0,en,isolation,atomic bomb,bunker,Bob Ziembicki,NA,Steve Dorff,NA,Hugh Wilson,Renny Harlin,Sunil Perkash
1996,10207.0,en,sailboat,anonymous letter,sailing,NA,NA,Gabriel Yared,NA,Kevin Costner,Denise Di Novi,Jim Wilson
1997,9849.0,en,aliens,martian,based on tv series,NA,NA,NA,NA,Jerry Leider,NA,NA
1998,82865.0,en,woman director,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,18892.0,en,confession,jealousy,nightmare,Jerry Fleming,Betty Berberian,Stephen Endelman,NA,Stacy Kramer,Lisa Tornell,Lisa Beach
2000,13466.0,en,satellite,biography,rocket,NA,NA,NA,NA,NA,NA,NA
2001,1542.0,en,suburbia,tow truck,downsizing,Edward T. McAvoy,Adele Plauche,John Frizzell,NA,Nancy Klopper,Daniel Rappaport,Michael Rotenberg
2002,15256.0,en,new year's eve,relationship,lower east side manhattan new york city,NA,NA,NA,NA,NA,NA,NA
2003,8224.0,en,pornography,porn actor,loss of daughter,Gary Wissner,Gershon Ginsburg,Mychael Danna,NA,Joel Schumacher,Judy Hofflund,Gavin Polone
2004,18417.0,en,autism,NA,NA,Stephen J. Lineweaver,Clayton Hartley,Joseph F. Brennan,G.W. Brown,David Hoberman,Mario Iscovich,Alexandra Rose
2005,12479.0,en,wife husband relationship,success,author,NA,NA,Mark Isham,NA,David Blocker,David Willis,NA
2006,1847.0,en,detective,mission of murder,police operation,NA,NA,John Williams,NA,Elliott Kastner,Jerry Bick,NA
2007,8913.0,en,pet,head injury,pet cemetery,NA,NA,Elliot Goldenthal,NA,Richard P. Rubinstein,Tim Zinnemann,NA
2008,10906.0,en,pet,head injury,pet cemetery,NA,NA,Elliot Goldenthal,NA,Richard P. Rubinstein,Tim Zinnemann,NA
2009,25748.0,en,pet,head injury,pet cemetery,NA,NA,Elliot Goldenthal,NA,Richard P. Rubinstein,Tim Zinnemann,NA
2010,25749.0,en,boy,cult,city,NA,NA,Daniel Licht,NA,Brad Southwick,Thomas C. Rainone,Donald Paul Pemrick
2011,8769.0,en,teenagers,stephen king,psychological drama,Cloudia Rebar,Daniel A. Lomino,John Carpenter,Alan Howarth,Larry J. Franco,Richard Kobritz,Karen Rea
2012,14742.0,en,pimp,morgue,prostitution,NA,NA,NA,NA,NA,NA,NA
2013,15856.0,en,wine cellar,skeleton,cigarette smoking,NA,NA,NA,NA,NA,NA,NA
2014,10671.0,en,bomb,airport,snow storm,NA,NA,Alfred Newman,Hugo Friedhofer,Ross Hunter,Jacques Mapes,NA
2015,27932.0,en,helicopter,based on novel,airport,NA,NA,John Cacavas,NA,William Frye,Jennings Lang,NA
2016,7227.0,en,pilot,sequel,rescue,NA,NA,John Cacavas,NA,William Frye,NA,NA
2017,5919.0,en,skyscraper,firemen,rescue,NA,NA,John Williams,NA,Irwin Allen,NA,NA
2018,33518.0,en,hunter,mutation,alligator,NA,NA,Craig Huxley,NA,Brandon Chase,NA,NA
2019,2362.0,en,man versus machine,android,saloon,Herman A. Blumenthal,Charles Schulthies,Fred Karlin,NA,Leonard Murphy,Paul Lazarus III,NA
2020,10803.0,en,female nudity,killer robot,nudity,Dale Hennesy,NA,Jerry Goldsmith,NA,Saul David,Hugh Benson,NA
2021,871.0,en,human evolution,gorilla,bondage,William J. Creber,Jack Martin Smith,Jerry Goldsmith,David Dockendorf,Arthur P. Jacobs,Joe Scully,William Eckhardt
2022,1685.0,en,mutant,dystopia,survivor,William J. Creber,Walter M. Scott,Leonard Rosenman,Stephen Bass,Arthur P. Jacobs,NA,NA
2023,1705.0,en,mutant,dystopia,survivor,William J. Creber,Walter M. Scott,Leonard Rosenman,Stephen Bass,Arthur P. Jacobs,NA,NA
2024,1688.0,en,mutant,dystopia,survivor,William J. Creber,Walter M. Scott,Leonard Rosenman,Stephen Bass,Arthur P. Jacobs,NA,NA
2025,1687.0,en,spacecraft,pacifism,human being,Jack Martin Smith,William J. Creber,Dean Vernon,Theodore Soderberg,Arthur P. Jacobs,NA,NA
2026,166680.0,en,independent film,disaster,resort,Sharon Compton,Philip Thomas,William Kraft,NA,Roger Corman,Paul Rapp,Laurence Cruickshank
2027,11123.0,en,supermarket,earthquake,natural disaster,Alexander Golitzen,E. Preston Ames,John Williams,NA,Mark Robson,Jennings Lang,NA
2028,29723.0,en,airplane accident,supersonic jet,NA,NA,NA,NA,NA,NA,NA,NA
2029,31638.0,en,capsized ship,NA,NA,NA,NA,NA,NA,Irwin Allen,NA,NA
2030,9535.0,en,new york,mafia boss,wedding,NA,NA,Howard Shore,NA,Bruce Berman,Chris Brigham,Billy Crystal
2031,9455.0,en,new york,life and death,gang war,NA,NA,NA,NA,Dan Halsted,NA,NA
2032,796.0,en,upper class,sexual obsession,sex,Jon Gary Steele,David Lazan,Ed Shearmur,NA,Neal H. Moritz,NA,NA
2033,100.0,en,ambush,joint,marijuana,Iain Andrews,Eve Mavrakis,David A. Hughes,John Murphy,Matthew Vaughn,Celestia Fox,Guy Ritchie
2034,77936.0,fr,france,sex,obsession,NA,NA,NA,NA,NA,NA,NA
2035,84586.0,en,gay,friendship,hiv,NA,NA,NA,NA,NA,NA,NA
2036,30943.0,en,boy,reunion,kidnap,NA,NA,NA,NA,NA,NA,NA
2037,7341.0,en,suicide,male nudity,female nudity,Peter Jamison,Geoffrey S. Grimsman,Danny B. Harvey,Alan Rankin,Paul Monash,Patrick J. Palmer,Gretchen Rennell
2038,10350.0,en,suicide,male nudity,female nudity,Peter Jamison,Geoffrey S. Grimsman,Danny B. Harvey,Alan Rankin,Paul Monash,Patrick J. Palmer,Gretchen Rennell
2039,11772.0,en,suicide,male nudity,female nudity,Peter Jamison,Geoffrey S. Grimsman,Danny B. Harvey,Alan Rankin,Paul Monash,Patrick J. Palmer,Gretchen Rennell
2040,9540.0,en,nurse,sex,based on novel,Carol Spier,James McAteer,Howard Shore,NA,Marc Boyman,David Cronenberg,Carol Baum
2041,31503.0,en,zombies,hen,graveyard,NA,NA,NA,NA,NA,NA,NA
2042,11773.0,en,suicide,england,based on novel,Ivan King,NA,Ron Goodwin,NA,Ronald Kinnoch,Denis Johnson,NA
2043,30202.0,en,evil child,NA,NA,NA,NA,NA,NA,NA,NA,NA
2044,22345.0,en,baby,genius,toddler,NA,NA,NA,NA,NA,NA,NA
2045,1641.0,en,cataclysm,airplane,singles,Lester Cohen,Christa Munro,John Powell,Anna Behlmer,Susan Arnold,Donna Roth,Ian Bryce
2046,47288.0,en,musical,king,school teacher,Helena Collins-Liuag,NA,NA,NA,Peter Bakalian,James G. Robinson,Geoffrey Johnson
2047,10212.0,en,cave,nudity,chase,Bryce Perrin,Marketa Puzmanova,Damon Albarn,Michael Nyman,Adam Fields,David Heyman,Kerry Barden
2048,10354.0,en,journalist,death penalty,death row,Henry Bumstead,Jack G. Taylor Jr.,Lennie Niehaus,NA,Lili Fini Zanuck,Phyllis Huffman,Clint Eastwood
2049,11526.0,en,prison,musical,music,NA,NA,NA,NA,Molly von F?rstenberg,Elvira Senft,Harald K?gler
2050,8583.0,en,venice,inquisition,beauty,NA,NA,George Fenton,NA,Edward Zwick,NA,NA
2051,16520.0,en,temple,prime minister,letter,John DeCuir,Lyle R. Wheeler,Richard Rodgers,NA,Charles Brackett,Darryl F. Zanuck,NA
2052,11374.0,en,tv show,tv station,simulated reality ,NA,NA,Randy Edelman,NA,Jeffrey T. Barabe,Brian Grazer,Ron Howard
2053,16379.0,en,tv show,tv station,simulated reality ,NA,NA,Randy Edelman,NA,Jeffrey T. Barabe,Brian Grazer,Ron Howard
2054,125123.0,en,tv show,tv station,simulated reality ,NA,NA,Randy Edelman,NA,Jeffrey T. Barabe,Brian Grazer,Ron Howard
2055,28029.0,en,adultery,NA,NA,Dan Leigh,Gilles Aird,Mason Daring,NA,Kerry Barden,Ann Goulder,Billy Hopkins
2056,603.0,en,saving the world,artificial intelligence,man versus machine,Owen Paterson,Hugh Bateup,Don Davis,Dane A. Davis,Joel Silver,Mali Finn,Shauna Wolifson
2057,4951.0,en,sister,high school,cannabis,Carol Winstead Wood,Gilbert Wong,Richard Gibbs,NA,Donna Morong,Gail Goldberg,Andrew Lazar
2058,65749.0,en,dancer,tango,musical,NA,NA,NA,NA,NA,NA,NA
2059,8970.0,en,new york,travel,misfortune,NA,NA,Marc Shaiman,NA,NA,NA,NA
2060,9840.0,en,factory worker,coma,soulmates,NA,NA,Yann Tiersen,NA,NA,NA,NA
2061,30950.0,en,liar,compromise,nude model,NA,NA,NA,NA,NA,NA,NA
2062,11660.0,en,london,robbery,burglar,NA,NA,David Julyan,NA,Peter Broderick,Christopher Nolan,Jeremy Theobald
2063,9430.0,en,ecstasy,drug dealing,drug,NA,NA,Moby,NA,Paul Rosenberg,Mickey Liddell,Matt Freeman
2064,11355.0,en,chicago,journalist,newspaper,NA,NA,David Newman,NA,Sandy Isaac,Nancy Juvonen,NA
2065,18764.0,en,mistaken identity,martial arts master,pianist,NA,NA,NA,NA,NA,NA,NA
2066,9465.0,en,suicide,mississippi,small town,NA,NA,David A. Stewart,NA,Robert Altman,Ernst Etchie Stroh,NA
2067,1414.0,es,suicide,love at first sight,becoming an adult,NA,NA,Alberto Iglesias,NA,Fernando Bovaira,Sara Bilbat?a,NA
2068,49981.0,en,suicide,love at first sight,becoming an adult,NA,NA,Alberto Iglesias,NA,Fernando Bovaira,Sara Bilbat?a,NA
2069,6522.0,en,suicide,love at first sight,becoming an adult,NA,NA,Alberto Iglesias,NA,Fernando Bovaira,Sara Bilbat?a,NA
2070,114719.0,en,NA,NA,NA,NA,NA,NA,NA,Gregory Cascante,Josi W. Konski,Juan J. Llauro
2071,10209.0,en,hippie,culture clash,morocco,Pierre Gompertz,Louise Marzaroli,John E. Keane,NA,Ann Scott,Susie Figgis,NA
2072,22826.0,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2073,1902.0,en,love triangle,madrid,love of one's life,Carola Angulo,Wolfgang Burmann,Mariano Mar?n,Alejandro Amen?bar,Fernando Bovaira,Jos? Luis Cuerda,Ana Amigo
2074,6396.0,en,punk,indie,NA,NA,NA,NA,NA,Sam Maydew,NA,NA
2075,39964.0,en,restaurant,neighbor,dog,NA,NA,NA,NA,NA,NA,NA
2076,12596.0,en,competition,airport,air controller,NA,NA,Anne Dudley,Chris Seefried,Michael Flynn,Alan Greenspan,Art Linson
2077,9451.0,en,alcohol,sex,jealousy,Jane Ann Stewart,T.K. Kirkpatrick,Rolfe Kent,NA,Van Toffler,Albert Berger,David Gale
2078,1946.0,en,videogame,hacker,bodyguard,Carol Spier,Tamara Deverell,Nick Watson,Andy Malcolm,Deidre Bowen,David Cronenberg,Andr?s H?mori
2079,1844.0,en,london,burglar,distrust,Norman Garwood,NA,Christopher Young,NA,Michelle Guish,Donna Isaacson,Ronald Bass
2080,6552.0,en,attic,knitting needle,noise complaint,Roland Rosenkranz,NA,Graeme Revell,NA,John Papsidera,Jeffrey Sudzin,Suzanne Todd
2081,24584.0,en,gay,coming out,high school,NA,NA,NA,NA,NA,NA,NA
2082,25471.0,en,NA,NA,NA,NA,NA,Jiping Zhao,NA,Mona Fong,Titus Ho,NA
2083,4154.0,en,NA,NA,NA,NA,NA,Jiping Zhao,NA,Mona Fong,Titus Ho,NA
2084,28519.0,en,NA,NA,NA,NA,NA,Jiping Zhao,NA,Mona Fong,Titus Ho,NA
